14:52:52:364 INFO  [pl.edu.agh.cs.kraksim.KraksimRunner]  - Prediction configured with file: null
14:53:10:758 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:786 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:786 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:818 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:818 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:846 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:846 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:874 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:874 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:902 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:902 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:930 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:931 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:958 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:958 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:985 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:10:986 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:013 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:015 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:044 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:044 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:072 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:072 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:072 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:074 DEBUG [pl.edu.agh.cs.kraksim.weka.WekaPredictionModule]  - Add world State
14:53:11:074 DEBUG [pl.edu.agh.cs.kraksim.weka.WekaPredictionModule]  - Predict congestions
14:53:11:102 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:103 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:132 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:132 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:161 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:162 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:191 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:192 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:222 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:222 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:250 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:250 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:279 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:282 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:312 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:312 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:339 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
14:53:11:339 INFO  [pl.edu.agh.cs.kraksim.ministat.CityMiniStatExt]  - 0.0
